age;Lo;Mo;So;Lu;Mu;Su
9,4;-8,57537;1,08739;0,02371;-8,62384;3,06882;0,02717
9,5;-8,5267;1,08852;0,02409;-8,53989;3,07335;0,02766
9,6;-8,47358;1,08975;0,02452;-8,44741;3,07822;0,0282
9,7;-8,41603;1,09106;0,02498;-8,34641;3,08343;0,02878
9,8;-8,35329;1,09249;0,02549;-8,23591;3,08899;0,02941
9,9;-8,2849;1,09403;0,02605;-8,11546;3,0949;0,0301
10;-8,21052;1,09569;0,02667;-7,98473;3,10115;0,03084
10,1;-8,12956;1,09748;0,02735;-7,84313;3,10774;0,03163
10,2;-8,03917;1,09947;0,02812;-7,68753;3,11478;0,03249
10,3;-7,94576;1,10149;0,02893;-7,52487;3,12194;0,03339
10,4;-7,84187;1,10373;0,02984;-7,34661;3,12956;0,03436
10,5;-7,7297;1,10613;0,03084;-7,15505;3,13755;0,03539
10,6;-7,60795;1,1087;0,03195;-6,94862;3,14594;0,03649
10,7;-7,47667;1,11146;0,03315;-6,72696;3,1548;0,03767
10,8;-7,33443;1,11443;0,03448;-6,488;3,16421;0,03892
10,9;-7,18056;1,11763;0,03595;-6,23018;3,17431;0,04026
11;-7,0145;1,12107;0,03755;-5,95427;3,18511;0,04167
11,1;-6,83537;1,12478;0,0393;-5,65803;3,19678;0,04318
11,2;-6,6427;1,12877;0,04121;-5,34238;3,2094;0,04476
11,3;-6,43934;1,13301;0,04326;-5,01257;3,22288;0,04641
11,4;-6,22193;1,13757;0,04546;-4,66632;3,23747;0,04813
11,5;-5,99143;1,14245;0,04782;-4,30695;3,25321;0,04991
11,6;-5,74793;1,14769;0,05032;-3,93684;3,27021;0,05172
11,7;-5,49182;1,15329;0,05295;-3,55874;3,2885;0,05355
11,8;-5,22246;1,15931;0,0557;-3,17325;3,30812;0,05538
11,9;-4,94397;1,16568;0,05851;-2,78424;3,32888;0,05716
12;-4,65312;1,17252;0,06139;-2,39278;3,35068;0,05886
12,1;-4,35212;1,17979;0,06429;-1,99774;3,37357;0,06048
12,2;-4,04117;1,18753;0,06718;-1,60061;3,39737;0,06198
12,3;-3,72098;1,19575;0,07002;-1,20217;3,42195;0,06333
12,4;-3,39259;1,20445;0,07277;-0,80367;3,44709;0,06451
12,5;-3,05647;1,21363;0,07538;-0,40565;3,47256;0,06549
12,6;-2,71412;1,22327;0,07781;-0,01031;3,49815;0,06625
12,7;-2,36659;1,23333;0,08001;0,3806;3,52364;0,06678
12,8;-2,01339;1,24384;0,08196;0,76499;3,54891;0,06706
12,9;-1,65608;1,25474;0,08362;1,13945;3,57386;0,06711
